Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
78,9553.310053616585719282738864421844,9311.466392621874547330662608146667,0.974684830740612628829921959550,4,MRK{3%}VZ{2%}AMGN{14%}GS{1%}Cash{80%},100
79,9621.100581251364928903058171272278,9374.213546772061818046495318412781,0.974339002862062208976112742675,3,MRK{2%}VZ{2%}AMGN{15%}Cash{81%},100
80,9675.756994472205406054854393005371,9391.649003952550629037432372570038,0.970637130440340056836134863261,3,MRK{2%}VZ{3%}AMGN{14%}Cash{81%},100
81,9812.312947050357252010144293308258,9461.902816864314445410855114459991,0.964288732730301023643448843359,4,MRK{2%}VZ{1%}AMGN{16%}GS{1%}Cash{80%},100
82,9870.749276907294188276864588260651,9479.338274044788704486563801765442,0.960346373726844171336836097908,4,MRK{2%}VZ{2%}AMGN{15%}GS{1%}Cash{80%},100
83,9883.808555070334477932192385196686,9565.136060606075261603109538555145,0.967758127579192883871428421116,3,MRK{4%}VZ{3%}AMGN{13%}Cash{80%},100
84,9918.404060799308354035019874572754,9715.572484848484236863441765308380,0.979549978534099086147080015508,3,MRK{3%}VZ{2%}AMGN{15%}Cash{80%},100
85,9932.863003858874435536563396453857,9733.007942028989418759010732173920,0.979879410221177749029664028058,3,MRK{3%}VZ{3%}AMGN{14%}Cash{80%},100
86,10037.915891473874580697156488895416,9803.261754940720493323169648647308,0.976623221486397685708880089805,4,MRK{3%}VZ{1%}AMGN{16%}GS{1%}Cash{79%},100
87,10056.952454876494812197051942348480,9820.697212121211123303510248661041,0.976508266911341848981464863755,4,MRK{3%}VZ{2%}AMGN{15%}GS{1%}Cash{79%},100
88,10165.369278212343488121405243873596,9883.444366271392937051132321357727,0.972266141620137025469716718362,3,MRK{2%}VZ{2%}AMGN{16%}Cash{80%},100
89,10206.918172219393454724922776222229,9900.879823451903575914911925792694,0.970016576639122329872577665810,3,MRK{2%}VZ{3%}AMGN{15%}Cash{80%},100
90,10350.198183421329304110258817672729,9971.133636363640107447281479835510,0.963376107361416100793860550766,4,MRK{2%}VZ{1%}AMGN{17%}GS{1%}Cash{79%},100
91,10362.507551191944003221578896045685,10074.366880105400923639535903930664,0.972193924138236242882271653798,3,MRK{4%}VZ{3%}AMGN{14%}Cash{79%},100
92,10417.830644114586903015151619911194,10162.056150197620809194631874561310,0.975448392025698551854873130651,4,MRK{4%}VZ{2%}AMGN{15%}GS{1%}Cash{78%},100
93,10441.991556913309977971948683261871,10224.803304347820812836289405822754,0.979200495290412753490727482131,3,MRK{3%}VZ{2%}AMGN{16%}Cash{79%},100
