Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
77,38321.37433,30036.22267,0.783798,9,MSFT{11.461318%} JPM{9.169054%} MRK{17.765043%} VZ{9.169054%} IBM{13.180516%} BA{2.292264%} MMM{9.598854%} TRV{18.194842%} WBA{9.169054%} ,
78,38345.29391,30037.52274,0.783343,12,MSFT{12.211669%} V{0.542741%} JPM{8.819539%} MRK{17.096336%} MCD{0.135685%} VZ{9.362280%} HON{0.407056%} IBM{12.211669%} BA{4.341927%} MMM{8.955224%} TRV{17.232022%} WBA{8.683853%} ,
79,38376.91957,30241.62006,0.788016,9,MSFT{8.908046%} JPM{6.465517%} MRK{18.247126%} VZ{11.350575%} IBM{13.793103%} BA{4.597701%} MMM{9.195402%} TRV{18.247126%} WBA{9.195402%} ,
80,38385.05222,30258.39367,0.788286,9,MSFT{9.235209%} JPM{6.349206%} MRK{18.326118%} VZ{11.399711%} IBM{13.275613%} BA{4.617605%} MMM{9.235209%} TRV{18.326118%} WBA{9.235209%} ,
81,38595.03022,30269.68483,0.78429,13,MSFT{13.305322%} UNH{0.140056%} JPM{8.123249%} CVX{0.140056%} MRK{17.507003%} MCD{0.280112%} DIS{0.140056%} VZ{9.383754%} IBM{10.644258%} BA{4.621849%} MMM{8.963585%} TRV{17.787115%} WBA{8.963585%} ,
82,38604.95053,30278.48762,0.784316,10,MSFT{11.554922%} JPM{10.556348%} HD{0.142653%} MRK{17.546362%} VZ{9.129815%} IBM{12.553495%} BA{2.282454%} MMM{9.129815%} TRV{17.974322%} WBA{9.129815%} ,
83,38622.52293,30295.50413,0.7844,10,MSFT{10.465116%} UNH{0.290698%} JPM{9.302326%} MRK{17.441860%} VZ{9.302326%} IBM{13.372093%} BA{2.325581%} MMM{9.738372%} TRV{18.459302%} WBA{9.302326%} ,
84,38627.98327,30301.67871,0.784449,10,MSFT{9.329446%} UNH{0.291545%} JPM{9.329446%} MRK{18.075802%} VZ{9.912536%} IBM{13.411079%} BA{2.332362%} MMM{9.475219%} TRV{18.513120%} WBA{9.329446%} ,
85,38639.35775,30308.90276,0.784405,9,MSFT{10.641399%} JPM{9.329446%} MRK{17.492711%} VZ{9.329446%} IBM{13.411079%} BA{2.040816%} MMM{9.912536%} TRV{18.513120%} WBA{9.329446%} ,
86,38655.35815,30327.44233,0.78456,13,MSFT{13.286713%} UNH{0.139860%} JPM{8.111888%} CVX{0.139860%} MRK{17.482517%} MCD{0.279720%} DIS{0.139860%} VZ{9.370629%} IBM{10.629371%} BA{4.755245%} MMM{8.951049%} TRV{17.762238%} WBA{8.951049%} ,
87,38670.73679,30340.34829,0.784582,10,MSFT{10.526316%} UNH{0.292398%} JPM{9.356725%} MRK{16.959064%} VZ{9.356725%} IBM{13.450292%} BA{2.339181%} MMM{9.795322%} TRV{18.567251%} WBA{9.356725%} ,
88,38680.26226,30408.95325,0.786162,9,MSFT{10.434783%} JPM{9.275362%} MRK{17.971014%} VZ{9.275362%} IBM{13.333333%} BA{2.318841%} MMM{9.710145%} TRV{18.405797%} WBA{9.275362%} ,
89,38734.78151,30417.1197,0.785266,10,MSFT{9.898108%} UNH{0.291121%} JPM{9.315866%} MRK{18.049491%} VZ{9.315866%} IBM{13.391557%} BA{2.328967%} MMM{9.606987%} TRV{18.486172%} WBA{9.315866%} ,
90,38760.32791,30443.80001,0.785437,10,MSFT{9.356725%} UNH{0.292398%} JPM{9.356725%} MRK{18.128655%} VZ{9.649123%} IBM{13.450292%} BA{2.339181%} MMM{9.502924%} TRV{18.567251%} WBA{9.356725%} ,
91,38777.85801,30459.19178,0.785479,10,MSFT{9.288824%} JPM{5.805515%} MRK{18.432511%} MCD{4.644412%} VZ{11.465893%} IBM{8.708273%} BA{4.644412%} MMM{9.288824%} TRV{18.432511%} WBA{9.288824%} ,
92,38792.51324,30498.27111,0.78619,10,MSFT{9.833585%} JPM{11.195159%} HD{0.151286%} MRK{18.608169%} VZ{9.682300%} IBM{13.313162%} BA{2.420575%} MMM{6.051437%} TRV{19.062027%} WBA{9.682300%} ,
93,38802.04996,30505.94556,0.786194,9,MSFT{9.329446%} JPM{9.329446%} MRK{18.075802%} VZ{9.912536%} IBM{13.411079%} BA{2.332362%} MMM{9.766764%} TRV{18.513120%} WBA{9.329446%} ,
