Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
47,51460.051807,10701.060192,0.207949,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{19.963031%} KO{14.787431%} CSCO{19.963031%} MCD{5.914972%} DIS{11.829945%} CRM{0.369686%} BA{21.996303%} 
48,51502.788141,10741.000097,0.208552,11.000000,AAPL{1.225919%} MSFT{0.175131%} WMT{2.977233%} PG{0.175131%} MRK{17.513135%} KO{19.614711%} CSCO{18.914186%} MCD{5.604203%} DIS{11.208406%} CRM{0.350263%} BA{22.241681%} 
49,51549.030104,10750.920377,0.208557,12.000000,AAPL{1.230228%} MSFT{0.175747%} WMT{2.987698%} JPM{0.351494%} PG{0.175747%} MRK{17.574692%} KO{19.683656%} CSCO{18.277680%} MCD{5.623902%} DIS{11.247803%} CRM{0.351494%} BA{22.319859%} 
50,51561.554457,10940.319834,0.212180,12.000000,AAPL{1.265823%} MSFT{0.180832%} WMT{3.074141%} JPM{0.361664%} PG{0.180832%} MRK{20.976492%} KO{14.466546%} CSCO{19.529837%} MCD{5.786618%} DIS{11.573237%} CRM{0.361664%} BA{22.242315%} 
51,51649.614861,11229.623818,0.217419,12.000000,AAPL{0.542495%} MSFT{0.180832%} WMT{3.074141%} JPM{0.361664%} PG{0.180832%} MRK{20.976492%} KO{14.466546%} CSCO{19.529837%} MCD{5.786618%} DIS{11.573237%} CRM{0.361664%} BA{22.965642%} 
52,51721.813481,11348.310701,0.219411,11.000000,AAPL{1.261261%} MSFT{0.180180%} WMT{3.063063%} JPM{0.360360%} PG{0.180180%} MRK{20.900901%} KO{14.414414%} CSCO{19.459459%} MCD{5.765766%} DIS{11.531532%} BA{22.882883%} 
53,51834.445785,11405.518063,0.220037,11.000000,AAPL{1.258993%} WMT{3.057554%} JPM{0.359712%} PG{0.179856%} MRK{20.863309%} KO{14.388489%} CSCO{19.424460%} MCD{5.755396%} DIS{11.510791%} CRM{0.359712%} BA{22.841727%} 
54,51913.252828,11504.633004,0.221613,11.000000,AAPL{1.261261%} MSFT{0.180180%} WMT{3.063063%} PG{0.180180%} MRK{20.900901%} KO{14.414414%} CSCO{19.459459%} MCD{5.765766%} DIS{11.531532%} CRM{0.360360%} BA{22.882883%} 
55,51954.100651,11517.594501,0.221688,12.000000,AAPL{1.265823%} MSFT{0.180832%} WMT{3.074141%} JPM{0.361664%} PG{0.180832%} MRK{20.976492%} KO{14.466546%} CSCO{18.806510%} MCD{5.786618%} DIS{11.573237%} CRM{0.361664%} BA{22.965642%} 
56,52020.177939,11633.665668,0.223638,12.000000,AAPL{1.275046%} MSFT{0.182149%} WMT{3.096539%} JPM{0.364299%} PG{0.182149%} MRK{21.129326%} KO{14.571949%} CSCO{18.214936%} MCD{5.828780%} DIS{11.657559%} CRM{0.364299%} BA{23.132969%} 
57,52150.361221,11648.067808,0.223355,11.000000,AAPL{1.277372%} WMT{3.102190%} JPM{0.364964%} PG{0.182482%} MRK{19.708029%} KO{14.598540%} CSCO{19.708029%} MCD{5.839416%} DIS{11.678832%} CRM{0.364964%} BA{23.175182%} 
58,52229.864701,11749.716206,0.224962,11.000000,AAPL{1.279707%} MSFT{0.182815%} WMT{3.107861%} PG{0.182815%} MRK{19.744059%} KO{14.625229%} CSCO{19.744059%} MCD{5.850091%} DIS{11.700183%} CRM{0.365631%} BA{23.217550%} 
59,52272.650927,11762.316764,0.225019,12.000000,AAPL{1.284404%} MSFT{0.183486%} WMT{3.119266%} JPM{0.366972%} PG{0.183486%} MRK{19.816514%} KO{14.678899%} CSCO{19.082569%} MCD{5.871560%} DIS{11.743119%} CRM{0.366972%} BA{23.302752%} 
60,52340.595615,11881.815431,0.227010,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{19.963031%} KO{14.787431%} CSCO{18.484288%} MCD{5.914972%} DIS{11.829945%} CRM{0.369686%} BA{23.475046%} 
61,52505.993775,11882.403128,0.226306,12.000000,AAPL{1.284404%} MSFT{0.183486%} WMT{3.119266%} JPM{0.366972%} PG{0.183486%} MRK{18.348624%} KO{14.678899%} CSCO{19.082569%} MCD{7.339450%} DIS{11.743119%} CRM{0.366972%} BA{23.302752%} 
62,52521.809172,11937.499447,0.227287,11.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} PG{0.184843%} MRK{18.853974%} KO{14.787431%} CSCO{19.963031%} MCD{5.914972%} DIS{11.829945%} CRM{0.369686%} BA{23.475046%} 
63,52540.596269,11998.248975,0.228361,13.000000,AAPL{1.364522%} MSFT{0.194932%} UNH{0.779727%} WMT{3.313840%} JPM{0.389864%} PG{0.194932%} MRK{19.493177%} KO{15.594542%} CSCO{14.814815%} MCD{6.237817%} DIS{12.475634%} CRM{0.389864%} BA{24.756335%} 
64,52585.668843,12002.774316,0.228252,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{14.787431%} CSCO{18.484288%} MCD{7.393715%} DIS{11.829945%} CRM{0.369686%} BA{23.475046%} 
65,52645.926677,12072.505829,0.229315,12.000000,AAPL{1.308411%} MSFT{0.186916%} WMT{3.177570%} JPM{0.373832%} PG{0.186916%} MRK{19.065421%} KO{14.953271%} CSCO{18.691589%} MCD{5.981308%} DIS{11.962617%} CRM{0.373832%} BA{23.738318%} 
66,52697.417210,12363.864925,0.234620,12.000000,AAPL{1.333333%} MSFT{0.190476%} WMT{3.238095%} JPM{0.380952%} PG{0.190476%} MRK{22.095238%} KO{15.238095%} CSCO{14.476190%} MCD{6.095238%} DIS{12.190476%} CRM{0.380952%} BA{24.190476%} 
67,52965.847758,12389.336733,0.233912,12.000000,AAPL{1.333333%} MSFT{0.190476%} WMT{3.238095%} JPM{0.380952%} PG{0.190476%} MRK{19.047619%} KO{15.238095%} CSCO{17.523810%} MCD{6.095238%} DIS{12.190476%} CRM{0.380952%} BA{24.190476%} 
68,53030.540618,12456.045341,0.234884,13.000000,AAPL{1.369863%} MSFT{0.195695%} UNH{0.391389%} WMT{3.326810%} JPM{0.391389%} PG{0.195695%} MRK{19.569472%} KO{15.655577%} CSCO{14.872798%} MCD{6.262231%} DIS{12.524462%} CRM{0.391389%} BA{24.853229%} 
69,53077.868738,12633.671681,0.238021,12.000000,AAPL{1.353965%} MSFT{0.193424%} WMT{3.288201%} JPM{0.386847%} PG{0.193424%} MRK{20.889749%} KO{15.473888%} CSCO{14.700193%} MCD{6.189555%} DIS{12.379110%} CRM{0.386847%} BA{24.564797%} 
70,53292.517285,12683.399315,0.237996,13.000000,AAPL{1.372549%} MSFT{0.196078%} UNH{0.196078%} WMT{3.333333%} JPM{0.392157%} PG{0.196078%} MRK{19.607843%} KO{15.686275%} CSCO{14.901961%} MCD{6.274510%} DIS{12.549020%} CRM{0.392157%} BA{24.901961%} 
71,53302.017700,12945.516664,0.242871,6.000000,AAPL{2.120141%} MRK{33.922261%} KO{22.614841%} CSCO{18.021201%} CRM{1.060071%} BA{22.261484%} 
72,53686.858766,13012.339426,0.242375,6.000000,AAPL{4.362416%} MRK{32.214765%} KO{21.476510%} CSCO{19.798658%} CRM{1.006711%} BA{21.140940%} 
73,53703.143898,13099.018540,0.243915,9.000000,AAPL{3.855422%} JNJ{3.855422%} JPM{0.481928%} PG{0.240964%} MRK{30.602410%} KO{23.132530%} CSCO{12.771084%} CRM{1.927711%} BA{23.132530%} 
