Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
21,4063.T 4519.T 8766.T 2914.T 6954.T 4503.T 6702.T AAPL MSFT UNH WMT JPM CVX MRK CSCO MCD NKE VZ IBM BA MMM ,0.46860951397672584440,20127.18746520846980274655,9431.79153578978912264574,41786
20,4063.T 4519.T 8766.T 6954.T 4503.T 6702.T 5108.T AAPL MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.46843362211249611748,20181.74000768955738749355,9453.80557233469517086633,62480
19,8306.T 4063.T 4519.T 8766.T 2914.T 6954.T 6702.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.49088286333099939718,20222.06058438146283151582,9926.66300211411544296425,20839
19,8306.T 4063.T 4519.T 8766.T 6954.T 4503.T 6702.T AAPL MSFT WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM ,0.51282076448018987236,20591.50093441564240492880,10559.74925098157473257743,20911
22,8306.T 4063.T 4502.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT UNH WMT JPM MRK NKE VZ IBM BA MMM TRV WBA ,0.54680429278581732522,21394.78847912546552834101,11698.76218363035150105134,151784
23,8306.T 4063.T 4502.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.56358604088822150668,21432.50051100580458296463,12079.05810933254542760551,186800
21,8306.T 4063.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT UNH WMT JPM MRK NKE VZ IBM BA MMM TRV WBA ,0.62169237509286479071,21556.55871692941582296044,13401.54818755664746277034,151772
20,8306.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.64741862813288653111,21689.67287070954262162559,14042.29825460585925611667,233560
20,4063.T 4502.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.65925926603091533629,21906.13192330940000829287,14441.82045333735914027784,248479
22,4063.T 4519.T 8766.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM CVX MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.65921702760933231779,22319.47242987301797256805,14713.37627302933287865017,243760
20,9432.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.67791303900811406002,22434.90944911042606690899,15208.91764451830204052385,207563
20,8306.T 4063.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT WMT JPM MRK NKE VZ IBM BA MMM TRV WBA ,0.67825380389649148061,22541.23576767988561186939,15288.67890395653375890106,150600
19,8306.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T MSFT UNH WMT JPM MRK NKE VZ IBM BA MMM TRV WBA ,0.68284761217852141257,22697.86809631015057675540,15499.18503110842902970035,197384
21,4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK KO CSCO NKE VZ IBM BA MMM TRV WBA ,0.68369571725227329395,22839.81334070008233538829,15615.48256387798210198525,209598
19,8306.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.69083652828909158927,22872.91050241936318343505,15801.44208335849543800578,206161
