Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
49,25705.56174,24073.33131,0.936503,15,V{0.139860%} WMT{17.762238%} JPM{17.622378%} PG{1.818182%} MRK{9.090909%} KO{0.839161%} CSCO{4.475524%} NKE{0.139860%} DIS{8.951049%} VZ{3.216783%} CAT{8.951049%} INTC{4.615385%} AXP{4.475524%} BA{0.139860%} TRV{17.762238%} ,
50,25710.11397,24087.57011,0.936891,15,V{0.139665%} WMT{17.737430%} JPM{17.597765%} PG{1.815642%} MRK{9.078212%} KO{0.837989%} CSCO{4.469274%} NKE{0.139665%} DIS{8.938547%} VZ{3.212291%} CAT{9.078212%} INTC{4.608939%} AXP{4.469274%} BA{0.139665%} TRV{17.737430%} ,
51,25715.44026,24090.47647,0.93681,15,V{0.139665%} WMT{17.737430%} JPM{17.597765%} PG{1.815642%} MRK{9.078212%} KO{0.837989%} CSCO{4.469274%} NKE{0.139665%} DIS{8.938547%} VZ{3.212291%} CAT{8.938547%} INTC{4.608939%} AXP{4.608939%} BA{0.139665%} TRV{17.737430%} ,
52,25717.75675,24102.55111,0.937195,15,V{0.139470%} WMT{17.712692%} JPM{17.573222%} PG{1.813110%} MRK{9.065551%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{9.205021%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
53,25725.46264,24134.39828,0.938152,14,JNJ{0.139276%} WMT{17.688022%} JPM{17.548747%} PG{2.785515%} MRK{8.913649%} KO{0.974930%} CSCO{4.456825%} NKE{0.278552%} DIS{8.913649%} VZ{2.785515%} CAT{8.913649%} INTC{4.456825%} AXP{4.456825%} TRV{17.688022%} ,
54,25735.48867,24150.45746,0.938411,12,WMT{18.039773%} JPM{18.039773%} PG{1.136364%} MRK{11.505682%} KO{0.852273%} CSCO{4.545455%} DIS{9.090909%} VZ{2.272727%} CAT{9.090909%} INTC{5.113636%} AXP{2.272727%} TRV{18.039773%} ,
55,25743.34034,24156.55816,0.938361,13,WMT{18.116976%} JPM{18.116976%} PG{2.282454%} HD{0.285307%} MRK{10.271041%} KO{0.285307%} CSCO{4.564907%} DIS{9.129815%} VZ{2.425107%} CAT{9.129815%} INTC{5.135521%} AXP{2.282454%} TRV{17.974322%} ,
56,25757.34682,24265.92947,0.942097,12,JNJ{0.727273%} WMT{23.090909%} JPM{11.454545%} MRK{6.000000%} KO{0.545455%} CSCO{2.909091%} DIS{9.454545%} VZ{5.818182%} CAT{11.636364%} INTC{4.545455%} TRV{23.090909%} DD{0.727273%} ,
57,25835.99886,24266.36504,0.939246,14,JNJ{0.139276%} WMT{17.688022%} JPM{17.548747%} PG{2.785515%} MRK{8.913649%} KO{0.835655%} CSCO{4.456825%} NKE{0.278552%} DIS{9.052925%} VZ{2.785515%} CAT{8.913649%} INTC{4.456825%} AXP{4.456825%} TRV{17.688022%} ,
58,25843.21321,24267.72385,0.939037,11,WMT{18.326118%} JPM{18.326118%} MRK{10.389610%} KO{1.443001%} CSCO{4.906205%} DIS{9.235209%} VZ{2.453102%} CAT{9.235209%} INTC{5.194805%} AXP{2.308802%} TRV{18.181818%} ,
59,25845.53382,24324.51566,0.94115,14,JNJ{0.139276%} WMT{17.688022%} JPM{17.548747%} PG{0.557103%} MRK{11.142061%} KO{0.974930%} CSCO{4.456825%} NKE{0.278552%} DIS{8.913649%} VZ{2.785515%} CAT{8.913649%} INTC{4.456825%} AXP{4.456825%} TRV{17.688022%} ,
60,25875.84936,24329.41935,0.940237,11,WMT{18.352601%} JPM{18.352601%} MRK{10.404624%} KO{1.445087%} CSCO{4.768786%} DIS{9.248555%} VZ{2.456647%} CAT{9.248555%} INTC{5.202312%} AXP{2.312139%} TRV{18.208092%} ,
61,25877.60748,24434.42031,0.94423,12,WMT{17.638889%} JPM{17.638889%} PG{1.111111%} MRK{11.250000%} KO{0.833333%} CSCO{4.444444%} DIS{8.888889%} VZ{2.222222%} CAT{8.888889%} INTC{5.000000%} AXP{4.444444%} TRV{17.638889%} ,
62,25917.03964,24452.05823,0.943474,11,WMT{18.273381%} JPM{18.273381%} MRK{10.359712%} KO{1.438849%} CSCO{4.604317%} DIS{9.208633%} VZ{2.446043%} CAT{9.784173%} INTC{5.179856%} AXP{2.302158%} TRV{18.129496%} ,
63,25942.25664,24465.20252,0.943064,11,WMT{18.273381%} JPM{18.273381%} MRK{10.359712%} KO{1.438849%} CSCO{4.604317%} DIS{9.208633%} VZ{2.446043%} CAT{9.208633%} INTC{5.179856%} AXP{2.877698%} TRV{18.129496%} ,
64,25955.32136,24474.75329,0.942957,12,WMT{18.379161%} JPM{18.379161%} HD{0.289436%} MRK{10.709117%} KO{1.447178%} CSCO{4.630970%} DIS{9.261939%} VZ{2.460203%} CAT{9.261939%} INTC{4.630970%} AXP{2.315485%} TRV{18.234443%} ,
65,25958.75111,24476.71673,0.942908,12,WMT{18.405797%} JPM{18.405797%} HD{0.289855%} MRK{10.434783%} KO{1.594203%} CSCO{4.637681%} DIS{9.275362%} VZ{2.463768%} CAT{9.275362%} INTC{4.637681%} AXP{2.318841%} TRV{18.260870%} ,
