Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
4,8035.T  6367.T  8058.T  8001.T ,0.33337731787546348583,179921.23262502538273110986,59981.65796137830329826102
4,8035.T  6367.T  8058.T  CRM ,0.33159894971529291219,187100.23005925799952819943,62042.23977913962880847976
3,8035.T  8058.T  AAPL ,0.33173836983097471087,187773.17849333572667092085,62291.56813135983247775584
3,7203.T  8035.T  8058.T ,0.32622606591666097886,192318.73563482289318926632,62739.38452821462851716205
3,8035.T  8058.T  2914.T ,0.32337037208636953967,197936.13418225076748058200,64006.68135985200206050649
4,8035.T  6367.T  8058.T  7267.T ,0.31889849738485082087,200786.39289661703514866531,64030.47899005546059925109
3,8035.T  8058.T  4519.T ,0.32617708402090228592,201625.42410820649820379913,65765.59290009252435993403
3,8035.T  8058.T  8001.T ,0.32072056263799225695,209930.58386544560198672116,67329.05497224793361965567
3,8035.T  6367.T  8058.T ,0.33097152179542127515,210258.39120870816987007856,69589.53970860317349433899
3,8035.T  8058.T  CRM ,0.30849744866374484431,227154.22023574475315399468,70076.49739592966216150671
3,8035.T  8058.T  7267.T ,0.30393114818480626571,239283.04609494830947369337,72725.57094079555827192962
3,8035.T  8058.T  8766.T ,0.29420185592789843687,250226.45775826566386967897,73617.08827474563440773636
2,8035.T  8058.T ,0.31203803051635187193,273201.04825611168053001165,85249.11703283990209456533
1,8035.T ,0.26058528506740591402,409543.83642939239507541060,106721.09736355226777959615

Runtime,1.85600000000000009415
