Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
9,7203.T  8306.T  9984.T  8035.T  8058.T  6902.T  6954.T  CRM  CAT ,0.96739364017558016062,105164.59994204356917180121,101735.56515554213547147810
6,7203.T  8035.T  8058.T  6902.T  6954.T  CRM ,0.95528534323870928358,107237.24515014115604571998,102442.16854122620134148747
6,7203.T  8035.T  8058.T  6902.T  6954.T  CAT ,0.96279087426065224076,108303.14064798373146913946,104273.27546964664361439645
9,7203.T  8306.T  9984.T  8035.T  8058.T  6902.T  3382.T  6954.T  CAT ,0.92868167813672120037,112931.92361790343420580029,104877.80834068257536273450
6,7203.T  8306.T  8035.T  8058.T  6902.T  6954.T ,0.90596804258842733582,116592.71016141124709974974,105629.26940501359058544040
6,7203.T  8035.T  8058.T  6902.T  3382.T  6954.T ,0.91772284503273304779,116768.33445821685018017888,107160.96810872848436702043
4,7203.T  8035.T  6902.T  6954.T ,0.90428316554914478509,123358.58741944484063424170,111551.09392932648188434541
8,7203.T  8306.T  9984.T  8035.T  8058.T  8316.T  6902.T  6954.T ,0.83193620135019841211,134270.63038683417835272849,111704.59819691935263108462
8,7203.T  8306.T  9984.T  8035.T  8058.T  6902.T  3382.T  6954.T ,0.83975249073323199323,135377.33207434168434701860,113683.45179824827937409282
5,7203.T  8035.T  8058.T  6902.T  6954.T ,0.83450665570363657952,141651.98938707992783747613,118209.52793717909662518650
6,7203.T  8306.T  9984.T  8035.T  6902.T  6954.T ,0.79626293945312398570,149207.57972730440087616444,118808.46602234974852763116
7,7203.T  9984.T  8035.T  8058.T  6902.T  6954.T  CRM ,0.77915746492749260455,153502.73067592637380585074,119602.79849290245329029858
7,7203.T  8306.T  9984.T  8035.T  8058.T  6902.T  6954.T ,0.79074545858463118897,154710.21267200351576320827,122336.39806704923103097826
6,8306.T  9984.T  8035.T  8058.T  6902.T  6954.T ,0.74629925529913032634,164291.17203452679677866399,122610.37934158864663913846
6,9984.T  8035.T  8058.T  6902.T  3382.T  6954.T ,0.74034567565004660850,167681.23611487689777277410,124142.07804530352586880326
6,7203.T  9984.T  8035.T  8058.T  3382.T  6954.T ,0.72650807777671044807,171941.12380345148267224431,124916.61534521292196586728
7,7203.T  8306.T  9984.T  8035.T  8058.T  6902.T  3382.T ,0.70992418934067080816,176561.34044602970243431628,125345.16648504983459133655
6,9984.T  8035.T  8058.T  6902.T  6954.T  6702.T ,0.71326766198850299894,177272.12887051637517288327,126442.47689519781852141023
5,7203.T  9984.T  8058.T  6902.T  6954.T ,0.70925350387829444454,180206.57489936961792409420,127812.14466928420006297529
4,9984.T  8058.T  6902.T  6954.T ,0.71354443028204384003,181122.91353478160453960299,129239.24614919963642023504
4,7203.T  9984.T  8058.T  6954.T ,0.69307211202563712149,188175.28293268859852105379,130419.04077318031340837479
6,7203.T  9984.T  8035.T  8058.T  6902.T  6954.T ,0.70641075948292930686,192229.27799423187389038503,135792.83026276048622094095
5,9984.T  8035.T  8058.T  6902.T  6954.T ,0.68112561072871369294,203414.58363987371558323503,138550.88251283598947338760
4,7203.T  8035.T  8058.T  6902.T ,0.65795800389507874684,212765.33817435780656524003,139990.65720326185692101717
5,7203.T  8306.T  9984.T  8035.T  8058.T ,0.64556884343817622085,219799.61251112719764932990,141895.78163696767296642065
5,9984.T  8035.T  8058.T  6902.T  3382.T ,0.61784125643468190692,231062.23350094479974359274,142759.78066082758596166968
3,8035.T  8058.T  6902.T ,0.62021809279702111439,235421.93401528717367909849,146012.94291754756704904139
3,7203.T  8035.T  8058.T ,0.61022801761290812461,241873.51384319231146946549,147597.99486559952492825687
4,9984.T  8035.T  8058.T  3382.T ,0.57598504046852083693,258921.84410347254015505314,149135.10885412266361527145
5,7203.T  9984.T  8035.T  8058.T  6902.T ,0.59266043268271051403,264533.77202678431058302522,156778.69978858350077643991
4,9984.T  8035.T  8058.T  6902.T ,0.57505677989151404716,287700.86575662903487682343,165444.33343400785815902054
4,7203.T  9984.T  8035.T  8058.T ,0.56570809848018810406,294540.82150429731700569391,166624.12805798853514716029
3,9984.T  8035.T  6902.T ,0.52347402514600782641,329212.54189958795905113220,172334.21443672606255859137
3,7203.T  9984.T  8035.T ,0.51183057980217017136,339798.50608379102777689695,173919.26638477802043780684
3,9984.T  8035.T  8058.T ,0.52230780913237884189,347542.64480948849814012647,181524.23739051647135056555
2,9984.T  8058.T ,0.50787838973504295659,363261.95252390595851466060,184492.89549984899349510670
2,9984.T  8035.T ,0.46337069624061288931,431591.43085356958908960223,199986.82180610086652450264
1,9984.T ,0.39258457249534911560,570926.29931481182575225830,224136.85714285713038407266

Runtime,1.75800000000000000711
