Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
530,98838.91345,41410.30388,0.418968,5,WMT{0.460829%} CSCO{58.525346%} VZ{4.147465%} AMGN{31.797235%} IBM{5.069124%} ,
531,110948.3064,42230.68498,0.380634,4,MRK{18.110236%} CSCO{50.000000%} VZ{0.393701%} AMGN{31.496063%} ,
532,124906.084,42569.62994,0.340813,4,CSCO{49.224806%} VZ{3.100775%} AMGN{37.209302%} IBM{10.465116%} ,
533,125661.9754,42620.80802,0.33917,5,MRK{21.694915%} CSCO{43.050847%} VZ{0.338983%} AMGN{33.898305%} IBM{1.016949%} ,
534,126297.482,42756.31936,0.338537,5,MRK{21.768707%} CSCO{43.197279%} VZ{0.340136%} AMGN{34.013605%} IBM{0.680272%} ,
535,127797.1924,42758.11548,0.334578,4,CSCO{48.473282%} VZ{3.053435%} AMGN{37.786260%} IBM{10.687023%} ,
536,128280.169,42790.0757,0.333567,5,MRK{0.378788%} CSCO{48.106061%} VZ{3.409091%} AMGN{37.878788%} IBM{10.227273%} ,
537,128707.7313,42861.85046,0.333017,5,MRK{0.757576%} CSCO{48.106061%} VZ{3.030303%} AMGN{37.878788%} IBM{10.227273%} ,
538,128733.4049,42870.16362,0.333015,4,CSCO{48.288973%} VZ{3.422053%} AMGN{38.022814%} IBM{10.266160%} ,
539,128965.1885,42870.6543,0.33242,4,CSCO{48.288973%} VZ{3.041825%} AMGN{38.022814%} IBM{10.646388%} ,
540,129027.3429,42879.45105,0.332328,5,V{0.380228%} CSCO{48.288973%} VZ{3.041825%} AMGN{38.022814%} IBM{10.266160%} ,
541,129133.0171,43013.11456,0.333092,5,MRK{0.760456%} CSCO{48.288973%} VZ{3.422053%} AMGN{38.022814%} IBM{9.505703%} ,
542,129458.4837,43032.27681,0.332402,5,V{0.381679%} CSCO{48.473282%} VZ{3.435115%} AMGN{38.167939%} IBM{9.541985%} ,
543,129906.3,44014.21689,0.338815,4,MRK{17.037037%} CSCO{47.037037%} VZ{0.370370%} AMGN{35.555556%} ,
544,134172.8566,44123.28122,0.328854,4,CSCO{49.803922%} VZ{3.529412%} AMGN{39.215686%} IBM{7.450980%} ,
545,134173.5897,44824.65334,0.33408,5,MRK{0.816327%} CSCO{51.836735%} VZ{3.673469%} AMGN{39.183673%} IBM{4.489796%} ,
546,135934.9468,44942.98123,0.330621,5,WMT{0.408163%} CSCO{51.836735%} VZ{3.673469%} AMGN{39.591837%} IBM{4.489796%} ,
547,138722.5151,45134.25051,0.325356,5,V{0.803213%} CSCO{51.004016%} VZ{3.614458%} AMGN{40.160643%} IBM{4.417671%} ,
548,139042.5996,45266.4907,0.325558,5,MRK{0.803213%} CSCO{51.004016%} VZ{3.614458%} AMGN{40.160643%} IBM{4.417671%} ,
549,139583.9405,45274.44812,0.324353,5,WMT{0.403226%} CSCO{51.209677%} VZ{3.629032%} AMGN{40.322581%} IBM{4.435484%} ,
550,139598.8811,45288.05246,0.324416,5,CSCO{51.417004%} VZ{3.238866%} AMGN{40.485830%} IBM{4.453441%} CRM{0.404858%} ,
551,139809.2604,45437.70708,0.324998,5,MRK{0.806452%} CSCO{51.209677%} VZ{3.629032%} AMGN{40.322581%} IBM{4.032258%} ,
