Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
142,14756.065920171993639087304472923279,12135.724809486169760930351912975311,0.822422783629359055446172988013,5,WMT{5%}MRK{9%}NKE{2%}BA{4%}TRV{1%}Cash{79%},100
143,14857.238820548745934502221643924713,12158.827612121223864960484206676483,0.818377341777975275682877054351,6,WMT{4%}MRK{9%}NKE{1%}GS{3%}BA{3%}WBA{1%}Cash{79%},100
144,14898.321732860027623246423900127411,12268.040440579699861700646579265594,0.823451168564917734826735795650,5,WMT{5%}MRK{9%}KO{1%}NKE{2%}BA{4%}Cash{79%},100
145,14937.459291559251141734421253204346,12333.602660869557439582422375679016,0.825682763054553570114535432367,5,WMT{4%}MRK{10%}NKE{1%}GS{4%}BA{3%}Cash{78%},100
146,14941.154492829253285890445113182068,12343.835270619230868760496377944946,0.826163418398721427493569535727,5,WMT{5%}MRK{9%}NKE{1%}GS{4%}BA{3%}Cash{78%},100
147,14985.596247285311619634740054607391,12380.141924110672334791161119937897,0.826136092272829913873977147887,4,WMT{5%}MRK{10%}NKE{2%}BA{4%}Cash{79%},100
148,15021.826844399080073344521224498749,12390.374533860356677905656397342682,0.824824747496016752457137499732,4,WMT{6%}MRK{9%}NKE{2%}BA{4%}Cash{79%},100
149,15058.598503753042677999474108219147,12425.753431357041336013935506343842,0.825160019258112220619238996733,4,WMT{3%}MRK{10%}NKE{3%}BA{4%}Cash{80%},100
150,15116.702550702402731985785067081451,12436.154434255606247461400926113129,0.822676399998209628705581053509,4,WMT{4%}MRK{9%}NKE{3%}BA{4%}Cash{80%},100
151,15130.167867344827755005098879337311,12468.893265349155626608990132808685,0.824108058461171855135773967049,5,WMT{5%}PG{1%}MRK{9%}NKE{2%}BA{4%}Cash{79%},100
152,15153.426002318583414307795464992523,12640.219135177878342801705002784729,0.834149263225612114247553563473,5,WMT{4%}MRK{10%}NKE{2%}GS{1%}BA{4%}Cash{79%},100
153,15182.373407812701771035790443420410,12650.451744927528125117532908916473,0.833232815787400493690029179561,5,WMT{5%}MRK{9%}NKE{2%}GS{1%}BA{4%}Cash{79%},100
154,15351.622652750889756134711205959320,12782.410120685121000860817730426788,0.832642282175598769100588469882,4,WMT{4%}MRK{10%}NKE{3%}BA{4%}Cash{79%},100
155,15391.412369269481132505461573600769,12813.855596310913824709132313728333,0.832532797438075178320104896557,5,WMT{4%}MRK{10%}NKE{2%}BA{4%}WBA{1%}Cash{79%},100
156,15477.702885163864266360178589820862,12824.088206060618176707066595554352,0.828552421584028087053752642532,5,WMT{5%}MRK{9%}NKE{2%}BA{4%}WBA{1%}Cash{79%},100
157,15526.198822494401611038483679294586,12996.707431357033783569931983947754,0.837082377982134695493243725650,5,WMT{5%}MRK{10%}NKE{2%}GS{1%}BA{4%}Cash{78%},100
158,15659.598022529951776959933340549469,13006.940041106719945673830807209015,0.830604976091546487459993386437,5,WMT{6%}MRK{9%}NKE{2%}GS{1%}BA{4%}Cash{78%},100
159,15835.105503241464248276315629482269,13170.343892490147482021711766719818,0.831718101896710582110472387285,5,WMT{5%}MRK{10%}NKE{2%}BA{4%}WBA{1%}Cash{78%},100
160,16021.744469451521581504493951797485,13180.576502239799083326943218708038,0.822668001438361162769297152408,5,WMT{6%}MRK{9%}NKE{2%}BA{4%}WBA{1%}Cash{78%},100
161,16069.096445197950743022374808788300,13230.861634255605167709290981292725,0.823373092530630956709103429603,6,WMT{5%}MRK{10%}KO{1%}NKE{2%}GS{1%}BA{4%}Cash{77%},100
162,16075.846617735373001778498291969299,13258.940465876150483381934463977814,0.824774009180236578053779794573,5,WMT{4%}MRK{10%}NKE{2%}GS{2%}BA{4%}Cash{78%},100
163,16139.307087808767391834408044815063,13353.195727536227423115633428096771,0.827371067102558588324257016211,5,WMT{6%}MRK{10%}NKE{2%}GS{1%}BA{4%}Cash{77%},100
164,16260.348381435602277633734047412872,13388.229405006577508174814283847809,0.823366701066004513798191055685,5,WMT{3%}MRK{11%}NKE{3%}GS{1%}BA{4%}Cash{78%},100
165,16271.073396545370997046120464801788,13398.975627931476992671377956867218,0.823484431627990232094305156352,5,WMT{4%}MRK{10%}NKE{3%}GS{1%}BA{4%}Cash{78%},100
166,16307.166860773653752403333783149719,13431.714459025035466765984892845154,0.823669407058964742063267294725,6,WMT{5%}PG{1%}MRK{10%}NKE{2%}GS{1%}BA{4%}Cash{77%},100
167,16315.633076055952187743969261646271,13615.428762055311381118372082710266,0.834502020153705670324484344746,5,WMT{5%}MRK{10%}NKE{2%}GS{2%}BA{4%}Cash{77%},100
168,16536.135013412065745797008275985718,13625.661371804999362211674451828003,0.823993113309340441396955156961,5,WMT{6%}MRK{9%}NKE{2%}GS{2%}BA{4%}Cash{77%},100
169,16563.356984301026386674493551254272,13744.886094334655354032292962074280,0.829836977332689462727444151824,5,WMT{4%}MRK{11%}NKE{3%}GS{1%}BA{4%}Cash{77%},100
170,16591.352500243905524257570505142212,13776.331569960488195647485554218292,0.830332040124996728636119769362,6,WMT{4%}MRK{11%}NKE{2%}GS{1%}BA{4%}WBA{1%}Cash{77%},100
171,16629.366058371986582642421126365662,13786.909399736510749789886176586151,0.829070053021987996011432642263,6,WMT{5%}MRK{10%}NKE{2%}GS{1%}BA{4%}WBA{1%}Cash{77%},100
172,16708.402551365528779570013284683228,13961.339228458511570352129638195038,0.835587913658298320207507003943,5,WMT{5%}MRK{11%}NKE{2%}GS{2%}BA{4%}Cash{76%},100
173,16791.211212985923339147120714187622,13971.917058234526848536916077136993,0.832097034633748067200542664068,5,WMT{6%}MRK{10%}NKE{2%}GS{2%}BA{4%}Cash{76%},100
174,16988.151898610834905412048101425171,13993.495816073791502276435494422913,0.823720902637918861444177309750,6,WMT{5%}MRK{11%}NKE{1%}GS{2%}BA{4%}WBA{1%}Cash{76%},100
175,17000.240643003999139182269573211670,14004.073645849775857641361653804779,0.823757377317643091352294959506,6,WMT{6%}MRK{10%}NKE{1%}GS{2%}BA{4%}WBA{1%}Cash{76%},100
176,17034.154415627264825161546468734741,14132.819866139667283277958631515503,0.829675457983057196287290935288,6,WMT{5%}MRK{11%}NKE{2%}GS{1%}BA{4%}WBA{1%}Cash{76%},100
177,17167.176641096204548375681042671204,14143.397695915673466515727341175079,0.823862769726388277646833557810,6,WMT{6%}MRK{10%}NKE{2%}GS{1%}BA{4%}WBA{1%}Cash{76%},100
