Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
92,26890.730579918410512618720531463623,33927.254024940644740127027034759521,1.261670965915556053005275316536,2551.236328740166754869278520345688,-39208.187398944137385115027427673340,19,AAPL{19.1525423729%} UNH{20.0000000000%} JNJ{0.6779661017%} V{0.3389830508%} WMT{1.6949152542%} JPM{0.6779661017%} PG{13.7288135593%} CVX{0.1694915254%} HD{1.6949152542%} KO{2.7118644068%} CSCO{0.5084745763%} MCD{9.8305084746%} NKE{6.1016949153%} DIS{4.4067796610%} VZ{0.3389830508%} CRM{0.3389830508%} CAT{0.1694915254%} INTC{1.1864406780%} DD{16.2711864407%} 
93,26898.501458348655432928353548049927,33937.517316706151177641004323959351,1.261688030065806875867906455824,2553.897728891828592168167233467102,-39274.217578192939981818199157714844,19,AAPL{19.2893401015%} UNH{19.9661590525%} JNJ{0.6768189509%} V{0.3384094755%} WMT{1.6920473773%} JPM{0.6768189509%} PG{13.7055837563%} CVX{0.1692047377%} HD{1.6920473773%} KO{2.7072758037%} CSCO{0.5076142132%} MCD{9.8138747885%} NKE{6.0913705584%} DIS{4.3993231810%} VZ{0.3384094755%} CRM{0.3384094755%} CAT{0.1692047377%} INTC{1.1844331641%} DD{16.2436548223%} 
94,26915.499453821601491654291749000549,33964.951481090618472080677747726440,1.261910503996540144910909475584,2549.992328932188229373423382639885,-39134.828614965445012785494327545166,19,AAPL{18.9830508475%} UNH{20.0000000000%} JNJ{0.6779661017%} V{0.3389830508%} WMT{1.6949152542%} JPM{0.6779661017%} PG{13.7288135593%} CVX{0.1694915254%} HD{1.6949152542%} KO{2.7118644068%} CSCO{0.5084745763%} MCD{9.8305084746%} NKE{6.1016949153%} DIS{4.5762711864%} VZ{0.3389830508%} CRM{0.3389830508%} CAT{0.1694915254%} INTC{1.1864406780%} DD{16.2711864407%} 
95,26945.263740822058025514706969261169,33983.504596172926540020853281021118,1.261205120241147836779305180244,2549.051427879851416946621611714363,-39089.303003049477410968393087387085,19,AAPL{18.9830508475%} UNH{20.0000000000%} JNJ{0.6779661017%} V{0.3389830508%} WMT{1.6949152542%} JPM{0.6779661017%} PG{13.7288135593%} CVX{0.1694915254%} HD{1.8644067797%} KO{2.7118644068%} CSCO{0.5084745763%} MCD{9.8305084746%} NKE{6.1016949153%} DIS{4.4067796610%} VZ{0.3389830508%} CRM{0.3389830508%} CAT{0.1694915254%} INTC{1.1864406780%} DD{16.2711864407%} 
96,26949.627114538998284842818975448608,34047.249088072225276846438646316528,1.263366240407242768739592975180,2558.073277410470836912281811237335,-39284.184864361275685951113700866699,19,AAPL{18.9830508475%} UNH{20.0000000000%} JNJ{0.6779661017%} V{0.3389830508%} WMT{1.6949152542%} JPM{0.6779661017%} PG{13.7288135593%} CVX{0.1694915254%} HD{1.6949152542%} KO{2.7118644068%} CSCO{0.5084745763%} MCD{9.8305084746%} NKE{6.2711864407%} DIS{4.4067796610%} VZ{0.3389830508%} CRM{0.3389830508%} CAT{0.1694915254%} INTC{1.1864406780%} DD{16.2711864407%} 
97,26958.162221553302515530958771705627,34143.952119649860833305865526199341,1.266553403716498493736253294628,2570.159102576402801787480711936951,-39533.942154207019484601914882659912,19,AAPL{18.7604690117%} UNH{21.1055276382%} JNJ{0.6700167504%} V{0.3350083752%} WMT{0.3350083752%} JPM{0.6700167504%} PG{13.5678391960%} CVX{0.1675041876%} HD{1.6750418760%} KO{2.6800670017%} CSCO{0.5025125628%} MCD{9.7152428811%} NKE{6.0301507538%} DIS{4.3551088777%} VZ{0.3350083752%} CRM{1.6750418760%} CAT{0.1675041876%} INTC{1.1725293132%} DD{16.0804020101%} 
98,27017.308927589703671401366591453552,34177.507442969261319376528263092041,1.265022639174387286686851439299,2567.571626232433118275366723537445,-39426.212509027151099871844053268433,19,AAPL{18.9509306261%} UNH{19.9661590525%} JNJ{0.6768189509%} V{0.3384094755%} WMT{1.6920473773%} JPM{0.6768189509%} PG{13.7055837563%} CVX{0.1692047377%} HD{1.6920473773%} KO{2.7072758037%} CSCO{0.5076142132%} MCD{9.8138747885%} NKE{6.4297800338%} DIS{4.3993231810%} VZ{0.3384094755%} CRM{0.3384094755%} CAT{0.1692047377%} INTC{1.1844331641%} DD{16.2436548223%} 
99,27054.150025007922522490844130516052,34423.910578739254560787230730056763,1.272407765423011927197194381733,2684.243949998129664891166612505913,-42524.415987873799167573451995849609,20,AAPL{19.8606271777%} UNH{20.5574912892%} JNJ{0.8710801394%} V{0.3484320557%} WMT{0.3484320557%} JPM{0.6968641115%} PG{14.1114982578%} HD{0.5226480836%} MRK{0.3484320557%} KO{2.7874564460%} CSCO{0.5226480836%} MCD{7.3170731707%} NKE{8.3623693380%} DIS{4.5296167247%} VZ{0.3484320557%} HON{0.1742160279%} CRM{0.3484320557%} CAT{0.1742160279%} INTC{0.8710801394%} DD{16.8989547038%} 
100,27234.421893228438420919701457023621,34644.427559024174115620553493499756,1.272082355735193903711888196995,2460.269801655562787345843389630318,-35883.306755101963062770664691925049,21,AAPL{18.4466019417%} UNH{20.2265372168%} JNJ{0.1618122977%} V{0.1618122977%} WMT{0.4854368932%} PG{12.9449838188%} HD{0.6472491909%} MRK{0.3236245955%} KO{1.2944983819%} CSCO{0.6472491909%} MCD{11.4886731392%} NKE{8.0906148867%} DIS{10.0323624595%} VZ{0.3236245955%} CRM{1.7799352751%} CAT{0.1618122977%} INTC{0.1618122977%} AXP{0.3236245955%} MMM{0.3236245955%} TRV{0.1618122977%} DD{11.8122977346%} 
101,27391.585705253131891367956995964050,34755.147465634043328464031219482422,1.268825683902218726117894220806,2538.791234417129089706577360630035,-38023.534587656984513159841299057007,21,AAPL{18.9368770764%} UNH{20.7641196013%} JNJ{0.1661129568%} V{0.1661129568%} WMT{0.4983388704%} PG{13.2890365449%} HD{0.6644518272%} MRK{0.3322259136%} KO{1.3289036545%} CSCO{0.6644518272%} MCD{11.7940199336%} NKE{8.3056478405%} DIS{4.9833887043%} VZ{0.3322259136%} CRM{1.8272425249%} CAT{0.1661129568%} INTC{0.1661129568%} AXP{0.3322259136%} MMM{0.3322259136%} TRV{0.1661129568%} DD{14.7840531561%} 
