Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
427,111165.585380450356751680374145507812,73392.417270063524483703076839447021,0.660208076257477793902239682211,2509.621913286629023787099868059158,-5242.402679584183715633116662502289,16,UNH{14.8148148148%} JNJ{21.3804713805%} WMT{0.8417508418%} HD{0.1683501684%} KO{19.5286195286%} MCD{1.0101010101%} NKE{0.3367003367%} AMGN{2.1885521886%} HON{0.5050505051%} IBM{12.6262626263%} CRM{2.1885521886%} GS{0.3367003367%} AXP{0.5050505051%} BA{5.7239057239%} MMM{16.3299663300%} DD{1.5151515152%} 
428,111177.684389747795648872852325439453,73416.734414295846363529562950134277,0.660354951780826482377051434014,2513.854831910913617321057245135307,-5350.716985579443644382990896701813,16,UNH{14.8397976391%} JNJ{21.4165261383%} WMT{0.8431703204%} HD{0.1686340641%} KO{19.7301854975%} MCD{1.0118043845%} NKE{0.3372681282%} AMGN{2.1922428331%} HON{0.5059021922%} IBM{12.3102866779%} CRM{2.1922428331%} GS{0.3372681282%} AXP{0.5059021922%} BA{5.7335581788%} MMM{16.3575042159%} DD{1.5177065767%} 
429,111202.155140378774376586079597473145,73433.917724739367258735001087188721,0.660364159597790711941911467875,2542.487300848200902692042291164398,-6230.684368504244048381224274635315,17,UNH{14.9405772496%} JNJ{21.5619694397%} WMT{2.2071307301%} KO{19.6943972835%} CSCO{0.3395585739%} NKE{1.0186757216%} AMGN{2.2071307301%} HON{0.1697792869%} IBM{11.0356536503%} CRM{2.2071307301%} GS{0.3395585739%} INTC{0.1697792869%} AXP{0.5093378608%} BA{6.4516129032%} MMM{16.8081494058%} DD{0.1697792869%} WBA{0.1697792869%} 
430,111235.555973113761865533888339996338,73488.745524602447403594851493835449,0.660658769416903712823341265903,2377.659686137885728385299444198608,-1011.257974384643603116273880004883,18,MSFT{0.1672240803%} UNH{14.7157190635%} JNJ{21.0702341137%} WMT{1.1705685619%} PG{0.3344481605%} KO{20.7357859532%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.2073578595%} CRM{2.0066889632%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.2207357860%} DD{0.1672240803%} 
431,111244.657510857214219868183135986328,73560.821008494080160744488239288330,0.661252617918435481314531898533,2389.081067129311577446060255169868,-1297.052428224338655127212405204773,18,MSFT{0.1672240803%} UNH{14.7157190635%} JNJ{21.0702341137%} WMT{0.8361204013%} PG{0.3344481605%} KO{20.7357859532%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.2073578595%} CRM{2.3411371237%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.2207357860%} DD{0.1672240803%} 
432,111382.398628954615560360252857208252,73623.620699417253490537405014038086,0.660998700025106966648991146940,2383.586719644124059414025396108627,-1062.096516098634310765191912651062,18,MSFT{0.1666666667%} UNH{14.6666666667%} JNJ{21.0000000000%} WMT{0.8333333333%} PG{0.3333333333%} KO{20.6666666667%} MCD{0.6666666667%} NKE{1.0000000000%} VZ{0.1666666667%} AMGN{7.5000000000%} HON{0.1666666667%} IBM{12.8333333333%} CRM{2.0000000000%} GS{0.3333333333%} AXP{0.3333333333%} BA{1.0000000000%} MMM{16.1666666667%} DD{0.1666666667%} 
433,111406.269323052634717896580696105957,73670.570457365814945660531520843506,0.661278498104429401927006892947,2391.424605474955569661688059568405,-1260.733847516130481380969285964966,18,MSFT{0.1672240803%} UNH{14.7157190635%} JNJ{21.0702341137%} WMT{0.8361204013%} PG{0.3344481605%} KO{21.0702341137%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.2073578595%} CRM{2.0066889632%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.2207357860%} DD{0.1672240803%} 
434,111457.542003268463304266333580017090,73675.263334414848941378295421600342,0.661016401494430416718728338310,2392.889811294617175008170306682587,-1301.950752816479507600888609886169,18,MSFT{0.1675041876%} UNH{14.7403685092%} JNJ{21.1055276382%} WMT{0.8375209380%} PG{0.3350083752%} KO{20.7705192630%} MCD{0.6700167504%} NKE{1.0050251256%} VZ{0.1675041876%} AMGN{7.5376884422%} HON{0.1675041876%} IBM{12.2278056951%} CRM{2.0100502513%} GS{0.3350083752%} AXP{0.3350083752%} BA{1.1725293132%} MMM{16.2479061977%} DD{0.1675041876%} 
435,111493.018167571135563775897026062012,73693.704468217503745108842849731445,0.660971473186399594013096248091,2388.493378848278098303126171231270,-1145.754735695212730206549167633057,18,MSFT{0.1672240803%} UNH{14.7157190635%} JNJ{21.0702341137%} WMT{0.8361204013%} PG{0.3344481605%} KO{20.7357859532%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.5418060201%} CRM{2.0066889632%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.2207357860%} DD{0.1672240803%} 
436,111508.498892021700157783925533294678,73719.039525115586002357304096221924,0.661106913442542021286385534040,2392.514433421377361810300499200821,-1246.412722087563452078029513359070,18,MSFT{0.1675041876%} UNH{14.7403685092%} JNJ{21.1055276382%} WMT{0.8375209380%} PG{0.3350083752%} KO{20.9380234506%} MCD{0.6700167504%} NKE{1.0050251256%} VZ{0.1675041876%} AMGN{7.5376884422%} HON{0.1675041876%} IBM{12.2278056951%} CRM{2.0100502513%} GS{0.3350083752%} AXP{0.3350083752%} BA{1.0050251256%} MMM{16.2479061977%} DD{0.1675041876%} 
437,111565.238319747848436236381530761719,73740.084737076336750760674476623535,0.660959326109589961895096621447,2392.100477605287323967786505818367,-1212.396894556008192012086510658264,18,MSFT{0.1675041876%} UNH{14.7403685092%} JNJ{21.2730318258%} WMT{0.8375209380%} PG{0.3350083752%} KO{20.7705192630%} MCD{0.6700167504%} NKE{1.0050251256%} VZ{0.1675041876%} AMGN{7.5376884422%} HON{0.1675041876%} IBM{12.2278056951%} CRM{2.0100502513%} GS{0.3350083752%} AXP{0.3350083752%} BA{1.0050251256%} MMM{16.2479061977%} DD{0.1675041876%} 
438,111608.691377807321259751915931701660,73766.579376637790119275450706481934,0.660939380849203339529651657358,2393.533607210471927828621119260788,-1230.806982623667863663285970687866,18,MSFT{0.1677852349%} UNH{14.7651006711%} JNJ{21.1409395973%} WMT{0.8389261745%} PG{0.3355704698%} KO{20.8053691275%} MCD{0.6711409396%} NKE{1.0067114094%} VZ{0.1677852349%} AMGN{7.5503355705%} HON{0.1677852349%} IBM{12.2483221477%} CRM{2.0134228188%} GS{0.3355704698%} AXP{0.3355704698%} BA{1.0067114094%} MMM{16.2751677852%} DD{0.1677852349%} 
439,111727.126415934471879154443740844727,73811.653464641494792886078357696533,0.660642189881959662756116813398,2393.040140468777735804906114935875,-1170.270936713557603070512413978577,18,MSFT{0.1675041876%} UNH{14.9078726968%} JNJ{21.1055276382%} WMT{0.8375209380%} PG{0.3350083752%} KO{20.7705192630%} MCD{0.6700167504%} NKE{1.0050251256%} VZ{0.1675041876%} AMGN{7.5376884422%} HON{0.1675041876%} IBM{12.2278056951%} CRM{2.0100502513%} GS{0.3350083752%} AXP{0.3350083752%} BA{1.0050251256%} MMM{16.2479061977%} DD{0.1675041876%} 
440,111845.044776565220672637224197387695,73855.798336417545215226709842681885,0.660340370768866424810994431027,2392.476019569756772398250177502632,-1108.450276768169715069234371185303,18,MSFT{0.1672240803%} UNH{15.0501672241%} JNJ{21.0702341137%} WMT{0.8361204013%} PG{0.3344481605%} KO{20.7357859532%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.2073578595%} CRM{2.0066889632%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.2207357860%} DD{0.1672240803%} 
441,112075.375900010752957314252853393555,73938.837112161083496175706386566162,0.659724194707376310198299051990,2391.362267315727422101190313696861,-990.513930398374213837087154388428,18,MSFT{0.1666666667%} UNH{15.3333333333%} JNJ{21.0000000000%} WMT{0.8333333333%} PG{0.3333333333%} KO{20.6666666667%} MCD{0.6666666667%} NKE{1.0000000000%} VZ{0.1666666667%} AMGN{7.5000000000%} HON{0.1666666667%} IBM{12.1666666667%} CRM{2.0000000000%} GS{0.3333333333%} AXP{0.3333333333%} BA{1.0000000000%} MMM{16.1666666667%} DD{0.1666666667%} 
442,112090.347012578524299897253513336182,74100.969208067908766679465770721436,0.661082521225065611325533154741,2412.397121740568763925693929195404,-1487.473939803236135048791766166687,18,MSFT{0.1672240803%} UNH{14.7157190635%} JNJ{21.0702341137%} WMT{0.8361204013%} PG{0.3344481605%} KO{20.7357859532%} MCD{0.6688963211%} NKE{1.0033444816%} VZ{0.1672240803%} AMGN{7.5250836120%} HON{0.1672240803%} IBM{12.2073578595%} CRM{2.0066889632%} GS{0.3344481605%} AXP{0.3344481605%} BA{1.0033444816%} MMM{16.5551839465%} DD{0.1672240803%} 
443,112407.671446578518953174352645874023,74135.674851039730128832161426544189,0.659525047507745321162531126902,2552.213049759940076910424977540970,-5833.667374771721370052546262741089,16,UNH{14.7651006711%} JNJ{21.3087248322%} WMT{0.8389261745%} HD{0.1677852349%} KO{19.4630872483%} MCD{1.0067114094%} NKE{0.3355704698%} AMGN{2.1812080537%} HON{0.5033557047%} IBM{12.2483221477%} CRM{2.1812080537%} GS{0.3355704698%} AXP{0.5033557047%} BA{5.7046979866%} MMM{16.9463087248%} DD{1.5100671141%} 
444,112589.198228855238994583487510681152,74437.310119376561488024890422821045,0.661140778070654966391828111227,2431.328883191808927222155034542084,-1744.328220633455202914774417877197,18,MSFT{0.1666666667%} UNH{14.6666666667%} JNJ{21.0000000000%} WMT{0.8333333333%} PG{0.3333333333%} KO{20.6666666667%} MCD{0.6666666667%} NKE{1.0000000000%} VZ{0.1666666667%} AMGN{7.5000000000%} HON{0.1666666667%} IBM{12.1666666667%} CRM{2.0000000000%} GS{0.3333333333%} AXP{0.3333333333%} BA{1.0000000000%} MMM{16.8333333333%} DD{0.1666666667%} 
445,112967.319355818326584994792938232422,74486.832608087832340970635414123535,0.659366204605362438151416881738,2513.551620779832774132955819368362,-4271.118176346939435461536049842834,16,UNH{13.9240506329%} JNJ{20.0949367089%} WMT{0.7911392405%} HD{0.1582278481%} KO{18.3544303797%} MCD{0.9493670886%} NKE{0.3164556962%} AMGN{7.1202531646%} HON{0.4746835443%} IBM{11.5506329114%} CRM{2.0569620253%} GS{0.3164556962%} AXP{0.4746835443%} BA{5.3797468354%} MMM{17.8797468354%} DD{0.1582278481%} 
