Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1925,44178.733188981634157244116067886353,66525.499776502605527639389038085938,1.505826332591500227309211368265,5,V{25%}WMT{43%}HD{3%}DIS{22%}HON{7%},100
1926,44220.215532758622430264949798583984,66591.019553005186025984585285186768,1.505895408937437895957600630936,6,V{26%}WMT{43%}HD{3%}DIS{22%}HON{5%}CRM{1%},100
1927,44292.905290131624497007578611373901,66642.958622772610397078096866607666,1.504596688481858013375358495978,6,V{25%}WMT{42%}HD{4%}DIS{22%}HON{6%}CRM{1%},100
1928,44323.129165813043073285371065139771,66673.690486257924931123852729797363,1.504264065761948376831469431636,6,V{24%}WMT{43%}HD{4%}DIS{22%}HON{6%}CRM{1%},100
1929,44384.112317081890068948268890380859,66745.380869827917194925248622894287,1.503812454172705370680773739878,6,V{25%}WMT{43%}HD{3%}DIS{22%}HON{6%}CRM{1%},100
1930,44473.751752249459968879818916320801,66776.536665659921709448099136352539,1.501481976102508664183687869809,6,V{24%}WMT{44%}HD{3%}DIS{22%}HON{6%}CRM{1%},100
1931,44532.083992186162504367530345916748,66846.600752038633800111711025238037,1.501088535712092442153675619920,6,V{25%}WMT{44%}HD{2%}DIS{22%}HON{6%}CRM{1%},100
1932,44615.806124827016901690512895584106,66899.742186650546500459313392639160,1.499462813682601147746709102648,6,V{24%}WMT{43%}HD{3%}DIS{22%}HON{7%}CRM{1%},100
1933,44681.201011456672858912497758865356,66930.897982482623774558305740356445,1.497965508253032984598007715249,6,V{23%}WMT{44%}HD{3%}DIS{22%}HON{7%}CRM{1%},100
1934,44727.426561316460720263421535491943,66965.261963153156102634966373443604,1.497185666860377795117642563127,6,V{25%}WMT{43%}HD{3%}DIS{22%}HON{5%}CRM{2%},100
1935,44744.100032827671384438872337341309,67000.962068861350417137145996093750,1.497425627506293599466857813240,6,V{24%}WMT{44%}HD{2%}DIS{22%}HON{7%}CRM{1%},100
1936,44857.124155260724364779889583587646,67066.481845363930915482342243194580,1.495113275947685727018665602372,6,V{25%}WMT{44%}HD{2%}DIS{22%}HON{5%}CRM{2%},100
1937,44928.883991357026388868689537048340,67102.181951072168885730206966400146,1.493519891657683285046687160502,6,V{24%}WMT{45%}HD{1%}DIS{22%}HON{7%}CRM{1%},100
